sentence,label,text_clean
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,nyrstar also agree supply talvivaara tonne sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate
Sales have risen in other export markets .,positive,sale rise export market
Sales increased due to growing market rates and increased operations .,positive,sale increase due grow market rate increase operation
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,agreement strengthen long term partnership nokia siemen network
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,company also estimate already carry investment lead increase net sale reach eur million
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,company order book stand bln euro bln september pct year international order amount mln euro mln
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,company say paper demand increase main market include publication paper increase average paper price percent compare last year
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,world second large stainless steel maker say net profit three month period dec surge euro million we million euro we per share euro million euro per share previous year
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,seppala revenue increase eur finland revenue go eur sale abroad rise eur sale increase baltic country well russia ukraine
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,share standard charter stan rose ftse royal bank scotland rb share rise barclays share barc bcs
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,share nokia corp rose Thursday cell phone maker say third quarter earnings almost double share global handset market increase
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,financial report publish Friday seb say net profit soar sek billion year early sek billion propose dividend increase sek per share
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,request finnish media company alma media newspaper research manager jari kaivo Oja finland future research centre turku school economics draw future scenario finland national economy use model develop university denver
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,sweden gallerix accumulate sek denominate sale eur denominate sale
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,investment place atria plan expand moscow market
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",neutral,June sell percent stake nordstjernan investment group take option acquire eqt remain share
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,stock exchange announcement july basware share subscription warrant increase share capital total share subscribe basware warrant program
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,new plant plan electricity generation capacity megawatt mw heat generation capacity
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",positive,omx helsinki index pct helsinki cap portfolio index pct high
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,maximum new share subscribe exercising option stock option plan
"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",neutral,route helsinki finland tallinn estonia cargo volume increase cargo volume finland sweden fall
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",positive,rinkuskiai raise sale percent million liter sale kauno alus grow percent liter
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,tiimari operate store six country include core finnish market generate turnover mln eur
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",positive,combination service enable we offer complex strengthen service chain limit baltic port connection also get access world wide grimaldi network mediterranean africa North america say uwe bakosch
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",positive,company still expect turnover slightly increase level add market predictability still poor trustworthy forecast market development contract manufacturing business current year
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,acquisition considerably increase kemira sale market position russian metal industry coating market
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,january september finnline net sale rise eur mn eur mn corresponding period
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjust change group structure division net sale increase
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive,change optimize operational efficiency grow business say julia prohaska director marketing communication fiskar
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,february finnish broadband datum communication system provider teleste oyj hel tlt see net profit jump eur last quarter eur period
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,finnish aktia group operating profit rise eur mn first quarter eur mn first quarter
Finnish Bank of +land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,finnish bank land consolidate net operating profit increase eur mn first quarter eur mn first quarter
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,finnish financial group aktia report operating profit eur mn january september eur mn corresponding period
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,finnish high technology provider vaahto group report net sale eur mn accounting period september february increase year early
Net sales of Finnish food industry company L+nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,net sale finnish food industry company nnen tehtaat continue operation increase eur mn eur mn
An individual promotion also generated slightly higher-than-expected revenues .,positive,individual promotion also generate slightly high expect revenue
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,biohit already service many current genesis customer customer base expect expand result agreement
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,operating profit turnover three month period increase respectively eur eur compare corresponding period
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circulation revenue increase finland sweden
Clothing chain Sepp+l+ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,clothing chain sepp net sale increase eur mn
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,construction volume meanwhile grow rate percent annually
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive,finnish swedish construction market still experience estimate annual growth
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,however biohit estimate total net sale continue grow favourable trend net sale lead profit
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,fiskar cash flow operating activity amount eur eur previous year
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,lithuania operating profit rose eur eur corresponding period
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,fourth quarter net sale increase eur mn eur mn fourth quarter
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,international sale rise eur mn
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sale grow period ac million we million ac million
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,net sale increase eur april June eur year early
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,net sale rose year year eur number charger deliver go million piece
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sale totale eur mn eur mn corresponding period
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,operating profit increase eur mn eur mn
Operating profit margin increased from 11.2 % to 11.7 % .,positive,operating profit margin increase
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,operating profit rise eur mn eur mn corresponding period
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,operating profit rise eur mn eur mn fourth quarter
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,operating profit eur mn eur mn
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,ramirent net sale second quarterended June euro million million percent increase compare euro million thesecond quarter last year
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,revenue grow percent ac million million ac million
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive,ruukki announce sign agreement aker solution norway supply suction anchor september kalajoki unit finland
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,ruukki delivery volume sell price show favourable development company comparable net sale grow year year eur ceo sakari tamminen say
Sanoma Magazines ' net sales are estimated to grow in 2006 .,positive,sanoma magazine net sale estimate grow
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive,bank forecast finland gdp grow
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,company consolidate operating profit amount eur mn eur mn year year
The Department Store Division reported an increase in sales of 4 per cent .,positive,department store division report increase sale per cent
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,fair value company investment property grow eur billion end march eur million year ago
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,last quarter good quarter net sale operating margin rose
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,major brewery increase domestic beer sale per cent last year million litre million litre
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",positive,transaction double tecnomen workforse add fourth net sale
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,operating profit rise eur million
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",positive,purchase cramo become second large rental service provider latvian market
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',positive,purchase operation part yit strategy expand offer building system service geographically
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,october finnish fishing tackle company rapala vmc corp hel rap say today net profit rise eur first nine month eur period year early
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,accord finnish metso mineral value company order go eur billion month
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,positive,finnish aldata solution sign contract supply system two French retail chain
Finnish Bank of +land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,finnish bank land report operating profit rise eur mn second quarter eur mn corresponding period
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,finnish financial group aktia operating profit increase eur mn eur mn
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,finnish forest machinery manufacturer ponsse net sale grow eur mn first quarter eur mn corresponding period
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,finnish kci konecrane raise net sale growth estimate
Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,positive,finnish okmetic manufacture process silicon wafer semiconductor sensor industry norwegian solar wafer company norsun sign contract okmetic supply norsun mono silicon crystal use solar cell manufacturing
Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,positive,finnish pharmaceuticall company orion net sale rise eur mn first quarter eur mn first quarter
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",positive,finnish ponsse sign agreement babcock africa distribution support ponsse forest machine harvester head information system south africa
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,south african sappi become large foreign forest industry company operate finland result acquisition finnish real corporation graphic paper business unit
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,positive,accord deputy md pekka silvennoinen aim double turnover next three year
"According to HKScan Finland , the plan is to increase J+rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,accord hkscan finland plan increase rvi suomen portti net sale eur mn eur mn
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,advertising circulation revenue grow respectively
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,takeover cramo become second large rental service provider latvian market
"Again , the most significant sales increase of 18.6 % was in Russia .",positive,significant sale increase russia
Alma Media expects its net sales to increase as forecast previously .,positive,alma media expect net sale increase forecast previously
Also Lemmink+inen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,positive,also lemmink inen profit accounting period go eur mn eur mn year ago
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,end march group order book eur mn corresponding period
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,time profit company increase reach ls
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,operating profit net sale month period increase respectively eur eur compare financial year
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,operating profit net sale month period increase respectively eur eur compare
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,operating profit net sale nine month period increase respectively compare corresponding period
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,operating profit net sale six month period increase respectively eur eur compare corresponding period
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,operating profit net sale three month period increase respectively eur eur compare corresponding period
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,operating profit net sale three month period increase respectively eur eur compare corresponding quarter
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive,operating profit sale three month period increase respectively eur eur compare corresponding period
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive,operating profit turnover nine month period increase respectively eur eur compare corresponding period year ago
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,operating profit turnover six month period increase respectively eur eur compare corresponding period
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,operating profit turnover six month period increase respectively eur eur compare corresponding period year ago
Cargo volume grew by 7 % .,positive,cargo volume grow
Cargo volume increased by approximately 5 % .,positive,cargo volume increase approximately
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive,comparable operating profit totale eur mn eur mn
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,digia say consolidate net sale january June eur period eur
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive,dilute earnings per share eps rise eur eur
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,dilute earnings per share eps rise eur versus eur
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,dilute eps rise eur eur
EBIT margin was up from 1.4 % to 5.1 % .,positive,ebit margin
"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",positive,eps quarter eur compare eur third quarter represent group net sale third quarter eur compare eur third quarter
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",positive,eps continue operation come eur
"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",positive,equity ratio compare third quarter net sale freeze food business totale eur third quarter
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",positive,eur may finnish textile clothing design company marimekko oyj hel mmo say today net profit rise eur first quarter eur corresponding period year early
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,finland base elcoteq be privately hold provider electronics manufacturing service communication company say Thursday sign long term manufacturing supply deal communication equipment company andrew corp
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,positive,finnish cutlery hand tool maker fiskar oyj abp hel fisa say today net profit rise eur million usd third quarter eur million year early
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive,finnish department store chain stockmann oyj abp net profit rose mln euro mln first nine month mln euro mln period
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",positive,finnish lift equipment maker konecrane oyj say july net profit rose mln euro mln first half mln euro mln period
Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .,positive,finnish messaging solution developer tecnomen corporation omx helsinki tem say Thursday december receive expansion order convergent charging solution Latin america
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,positive,finnish metal industry solution supplier outotec oyj net profit rise mln euro mln first nine month mln euro mln period
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive,finnish metal product company componenta oyj net profit rise mln euro mln first quarter mln euro mln period
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,positive,finnish office supplies computer accessory dealer beltton group plc say net profit rose mln euro mln mln euro mln
